Question,Type,CorrectOption,Option1,Option2,Option3,Option4
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,1,4,120 m,180 m,324 m,150 m
"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:",1,2,45 km/hr,50 km/hr,54 km/hr,55 km/hr
"The length of the bridge, which a train 130 metres long and travelling at 45 km/hr can cross in 30 seconds, is:",1,3,200 m,225 m,245 m,250 m
"Two ships are sailing in the sea on the two sides of a lighthouse. The angle of elevation of the top of the lighthouse is observed from the ships are 30° and 45° respectively. If the lighthouse is 100 m high, the distance between the two ships is:",2,3,173 m,200 m,273 m,300 m
"	
A man standing at a point P is watching the top of a tower, which makes an angle of elevation of 30° with the man's eye. The man walks some distance towards the tower to watch its top and the angle of the elevation becomes 60°. What is the distance between the base of the tower and the point P?",2,4,43 units,8 units,12 units,Data inadequate
"
Mr. Thomas invested an amount of Rs. 13,900 divided in two different schemes A and B at the simple interest rate of 14% p.a. and 11% p.a. respectively. If the total amount of simple interest earned in 2 years be Rs. 3508, what was the amount invested in Scheme B?",2,1,Rs. 6400,Rs. 6500,Rs. 7200,Rs. 7500
A lent Rs. 5000 to B for 2 years and Rs. 3000 to C for 4 years on simple interest at the same rate of interest and received Rs. 2200 in all from both of them as interest. The rate of interest per annum is:,3,4,5%,7%,7.23%,10%
"A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year, Rs. 33.50 is earned as interest from both the loans. What was the original rate of interest?",3,1,3.23%,4.50%,5%,6%
"	
A person borrows Rs. 5000 for 2 years at 4% p.a. simple interest. He immediately lends it to another person at 6% p.a for 2 years. Find his gain in the transaction per year.",3,1,Rs. 112.50,Rs. 125,Rs. 225,Rs. 167.50
The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?,1,1,4,8,10,None of these
A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is:,1,3,6 hours,10 hours,15 hours,30 hours
"The percentage increase in the area of a rectangle, if each of its sides is increased by 20% is:",1,3,40,42,44,46
"A towel, when bleached, was found to have lost 20% of its length and 10% of its breadth. The percentage of decrease in area is:",2,4,10,10.08,20,28
"A boat running upstream takes 8 hours 48 minutes to cover a certain distance, while it takes 4 hours to cover the same distance running downstream. What is the ratio between the speed of the boat and speed of the water current respectively?",2,3,02:01,03:02,08:03,None of these
A man buys Rs. 20 shares paying 9% dividend. The man wants to have an interest of 12% on his money. The market value of each share is:,2,2,Rs. 12,Rs. 15,Rs. 18,Rs. 21
,,,,,,
"	
Free notebooks were distributed equally among children of a class. The number of notebooks each child got was one-eighth of the number of children. Had the number of children been half, each child would have got 16 notebooks. Total how many notebooks were distributed ?",3,3,256,432,512,640
